,# Threads,MPI Eff,Pthreads Eff,CUDA (1 blk) Eff,CUDA (2 blk) Eff,CUDA (4 blk) Eff,CUDA (8 blk) Eff
0,1,1.0031,0.9686,0.3566,,,
1,2,0.967,0.9371,0.3439,0.3565,,
2,3,0.9345,0.9354,0.4345,,,
3,4,0.9286,0.7854,0.3955,0.3388,0.3546,
4,5,0.787,0.7038,0.3149,,,
5,6,0.6906,0.6382,0.3122,0.3289,,
6,7,0.6315,0.5857,0.3131,,,
7,8,0.5643,0.5297,0.3058,0.3177,0.3378,0.348
8,10,,0.4274,0.2983,0.3087,,
9,12,,0.3605,0.2856,0.3016,0.3245,
10,14,,0.3106,0.2799,0.299,,
11,16,,0.2754,0.2732,0.2886,0.3124,0.3305
12,20,,0.2238,0.2531,0.2787,0.2933,
13,24,,0.188,0.2365,0.2649,0.2787,0.2908
14,28,,0.1614,0.2087,0.2507,0.2665,
15,32,,0.141,0.2185,0.2497,0.2652,0.2753
16,40,,0.1125,0.175,0.2076,0.2261,0.2334
17,48,,0.0931,0.1574,0.1844,0.2012,0.2038
18,56,,0.0792,0.143,0.1556,0.1791,0.1842
19,64,,0.0712,0.177,0.187,0.2128,0.2245
